date,expiration,option_type,S,strike,bid,ask,market_price,volume,open_interest,days_to_expiration,T,moneyness,moneyness_category,sigma,r,market_price_over_K
2023-08-25,2023-08-28,PUT,440.79,442.0,2.14,2.16,2.1500000000000004,8850,2069,3,0.0082191780821917,0.997262443438914,ATM,17.2,0.0556,0.004864253393665159
2023-08-25,2023-08-28,PUT,440.79,441.0,1.59,1.6,1.5950000000000002,32870,3931,3,0.0082191780821917,0.9995238095238096,ATM,17.2,0.0556,0.0036167800453514743
2023-08-25,2023-08-28,PUT,440.79,446.0,5.2,5.37,5.285,1343,1432,3,0.0082191780821917,0.988318385650224,ATM,17.2,0.0556,0.011849775784753363
2023-08-25,2023-08-30,PUT,440.79,450.0,9.12,9.33,9.225,50,515,5,0.0136986301369863,0.9795333333333331,ATM,17.2,0.0556,0.0205
2023-08-25,2023-08-30,PUT,440.79,449.0,8.18,8.38,8.280000000000001,24,43,5,0.0136986301369863,0.9817149220489976,ATM,17.2,0.0556,0.01844097995545657
2023-08-25,2023-08-30,PUT,440.79,437.0,1.07,1.08,1.0750000000000002,11665,3605,5,0.0136986301369863,1.0086727688787185,ATM,17.2,0.0556,0.0024599542334096114
2023-08-25,2023-09-05,PUT,440.79,439.0,2.55,2.57,2.56,1963,308,11,0.0301369863013698,1.0040774487471524,ATM,17.2,0.0556,0.005831435079726652
2023-08-25,2023-09-08,PUT,440.79,460.0,19.07,19.32,19.195,5,5,14,0.0383561643835616,0.9582391304347824,OTM,17.2,0.0556,0.041728260869565215
2023-08-25,2023-09-08,PUT,440.79,457.5,16.59,16.82,16.705,1,1,14,0.0383561643835616,0.9634754098360656,OTM,17.2,0.0556,0.03651366120218579
2023-08-25,2023-09-08,PUT,440.79,457.0,16.07,16.32,16.195,16,10,14,0.0383561643835616,0.9645295404814004,OTM,17.2,0.0556,0.035437636761487964
2023-08-25,2023-09-08,PUT,440.79,456.0,15.09,15.32,15.205,8,26,14,0.0383561643835616,0.9666447368421052,OTM,17.2,0.0556,0.03334429824561404
2023-08-25,2023-09-08,PUT,440.79,464.0,23.07,23.32,23.195,2,2,14,0.0383561643835616,0.949978448275862,OTM,17.2,0.0556,0.04998922413793103
2023-08-25,2023-09-08,PUT,440.79,454.0,13.09,13.34,13.215,4,343,14,0.0383561643835616,0.9709030837004404,ATM,17.2,0.0556,0.0291079295154185
2023-08-25,2023-09-08,PUT,440.79,453.0,12.15,12.39,12.27,45,27,14,0.0383561643835616,0.973046357615894,ATM,17.2,0.0556,0.027086092715231786
