date,expiration,option_type,S,strike,bid,ask,market_price,volume,open_interest,days_to_expiration,T,moneyness,moneyness_category,sigma,r,market_price_over_K
2023-08-25,2023-08-29,CALL,440.79,442.0,1.52,1.53,1.525,6938,1928,4,0.010958904109589,0.997262443438914,ATM,17.2,0.0556,0.0034502262443438913
2023-08-25,2023-08-28,CALL,440.79,437.0,4.22,4.31,4.265,34872,1478,3,0.0082191780821917,1.0086727688787185,ATM,17.2,0.0556,0.009759725400457666
2023-08-25,2023-08-28,CALL,440.79,423.0,17.77,17.98,17.875,24,15,3,0.0082191780821917,1.0420567375886525,ITM,17.2,0.0556,0.04225768321513002
2023-08-25,2023-08-28,CALL,440.79,420.0,20.76,20.98,20.87,66,58,3,0.0082191780821917,1.0495,ITM,17.2,0.0556,0.049690476190476195
2023-08-25,2023-08-28,CALL,440.79,419.0,21.76,21.98,21.87,2,8,3,0.0082191780821917,1.0520047732696896,ITM,17.2,0.0556,0.05219570405727924
2023-08-25,2023-08-28,CALL,440.79,417.0,23.76,23.98,23.87,5,7,3,0.0082191780821917,1.05705035971223,ITM,17.2,0.0556,0.05724220623501199
2023-08-25,2023-08-28,CALL,440.79,413.0,27.76,27.97,27.865,1,17,3,0.0082191780821917,1.0672881355932202,ITM,17.2,0.0556,0.06746973365617433
2023-08-25,2023-08-28,CALL,440.79,412.0,28.75,28.97,28.86,2,3,3,0.0082191780821917,1.069878640776699,ITM,17.2,0.0556,0.07004854368932038
2023-08-25,2023-08-28,CALL,440.79,410.0,30.75,30.97,30.86,1,33,3,0.0082191780821917,1.0750975609756095,ITM,17.2,0.0556,0.07526829268292683
2023-08-25,2023-08-28,CALL,440.79,435.0,5.95,6.12,6.035,8767,2553,3,0.0082191780821917,1.0133103448275862,ATM,17.2,0.0556,0.013873563218390806
2023-08-25,2023-08-28,CALL,440.79,446.0,0.13,0.14,0.135,23694,8116,3,0.0082191780821917,0.988318385650224,ATM,17.2,0.0556,0.00030269058295964127
2023-08-25,2023-08-28,CALL,440.79,445.0,0.24,0.25,0.245,37569,8554,3,0.0082191780821917,0.9905393258426964,ATM,17.2,0.0556,0.000550561797752809
2023-08-25,2023-08-28,CALL,440.79,444.0,0.41,0.42,0.415,32685,6090,3,0.0082191780821917,0.9927702702702702,ATM,17.2,0.0556,0.0009346846846846847
2023-08-25,2023-08-28,CALL,440.79,443.0,0.66,0.67,0.665,31439,4727,3,0.0082191780821917,0.9950112866817156,ATM,17.2,0.0556,0.0015011286681715576
2023-08-25,2023-08-28,CALL,440.79,442.0,1.0,1.01,1.005,58390,3173,3,0.0082191780821917,0.997262443438914,ATM,17.2,0.0556,0.002273755656108597
2023-08-25,2023-08-28,CALL,440.79,441.0,1.45,1.46,1.455,80998,3114,3,0.0082191780821917,0.9995238095238096,ATM,17.2,0.0556,0.0032993197278911564
2023-08-25,2023-08-28,CALL,440.79,440.0,2.0,2.02,2.01,128228,4661,3,0.0082191780821917,1.0017954545454544,ATM,17.2,0.0556,0.004568181818181818
2023-08-25,2023-08-28,CALL,440.79,439.0,2.65,2.69,2.67,79074,4035,3,0.0082191780821917,1.0040774487471524,ATM,17.2,0.0556,0.006082004555808656
2023-08-25,2023-08-28,CALL,440.79,438.0,3.39,3.46,3.425,65807,3687,3,0.0082191780821917,1.0063698630136986,ATM,17.2,0.0556,0.007819634703196347
2023-08-25,2023-08-28,CALL,440.79,436.0,5.05,5.2,5.125,15804,1799,3,0.0082191780821917,1.01098623853211,ATM,17.2,0.0556,0.011754587155963303
2023-08-25,2023-09-01,CALL,440.79,447.0,0.91,0.92,0.915,4927,4922,7,0.0191780821917808,0.9861073825503356,ATM,17.2,0.0556,0.0020469798657718123
2023-08-25,2023-09-01,CALL,440.79,439.0,4.53,4.55,4.54,15578,3717,7,0.0191780821917808,1.0040774487471524,ATM,17.2,0.0556,0.010341685649202733
2023-08-25,2023-09-01,CALL,440.79,440.0,3.91,3.92,3.915,25466,18471,7,0.0191780821917808,1.0017954545454544,ATM,17.2,0.0556,0.008897727272727272
2023-08-25,2023-09-01,CALL,440.79,419.0,22.28,22.51,22.395000000000003,5,37,7,0.0191780821917808,1.0520047732696896,ITM,17.2,0.0556,0.05344868735083533
